product_name,price,category,source,timestamp,discount_percent,is_bestseller,rating,view_count,sales_rank,url
Sample Product 5898,700.2114740936047,personal-care,Slot,2025-04-22 17:39:36.093036,10,True,3.2,59,57,https://www.slot.com/products/86306
Sample Product 7659,6237.99225221949,beverages,Jumia,2025-05-01 17:39:36.093082,15,False,3.8,637,77,https://www.jumia.com/products/66354
Sample Product 7934,7122.376442387219,food,Slot,2025-04-13 17:39:36.093104,15,False,2.3,248,79,https://www.slot.com/products/42240
Sample Product 7765,9765.653211090175,personal-care,Konga,2025-04-15 17:39:36.093117,0,True,1.9,686,26,https://www.konga.com/products/26006
Sample Product 2400,3935.895579557434,personal-care,Slot,2025-04-17 17:39:36.093132,0,True,4.6,542,32,https://www.slot.com/products/28866
Sample Product 5687,4418.666678752712,personal-care,Slot,2025-04-30 17:39:36.093145,15,False,1.5,257,79,https://www.slot.com/products/60877
Sample Product 9556,2743.5574622555355,beverages,Slot,2025-04-25 17:39:36.093158,15,True,4.6,748,12,https://www.slot.com/products/57948
Sample Product 1894,2936.479909411853,detergents,PayPorte,2025-04-16 17:39:36.093173,10,False,1.7,356,20,https://www.payporte.com/products/96827
Sample Product 8991,8246.284840993765,snacks,Temu,2025-04-27 17:39:36.093187,5,False,3.7,482,79,https://www.temu.com/products/64912
Sample Product 9432,8859.186836675111,detergents,Jiji,2025-04-23 17:39:36.093199,20,False,4.3,683,18,https://www.jiji.com/products/51866
Sample Product 1194,1111.6664682660276,detergents,Konga,2025-04-25 17:39:36.093215,5,False,3.9,914,56,https://www.konga.com/products/26597
Sample Product 1653,7806.4148476608225,food,Konga,2025-04-28 17:39:36.093227,10,False,2.5,888,15,https://www.konga.com/products/73202
Sample Product 3021,4585.139180570644,snacks,Temu,2025-05-10 17:39:36.093238,5,True,4.2,968,48,https://www.temu.com/products/13844
Sample Product 7441,725.5984916519892,beverages,Temu,2025-04-15 17:39:36.093248,15,True,3.6,734,56,https://www.temu.com/products/98459
Sample Product 3668,6209.013601807573,food,Temu,2025-04-30 17:39:36.093259,20,False,3.2,354,57,https://www.temu.com/products/35779
Sample Product 9950,2072.5343357536512,snacks,Slot,2025-05-04 17:39:36.093270,15,False,1.9,61,59,https://www.slot.com/products/10044
Sample Product 2900,7471.871315559056,beverages,Slot,2025-05-09 17:39:36.093281,10,False,2.0,571,25,https://www.slot.com/products/74115
Sample Product 5780,2443.512442920059,beverages,Jumia,2025-05-08 17:39:36.093291,15,True,4.2,638,67,https://www.jumia.com/products/14222
Sample Product 6378,2619.8463627226565,detergents,PayPorte,2025-05-12 17:39:36.093302,5,False,1.7,877,22,https://www.payporte.com/products/42277
Sample Product 7249,2534.8711600982447,food,Jiji,2025-04-30 17:39:36.093313,15,True,3.8,229,57,https://www.jiji.com/products/63217
Sample Product 5429,5676.568793071589,food,Temu,2025-04-17 17:39:36.093326,15,True,3.7,654,52,https://www.temu.com/products/81782
Sample Product 6640,6210.558159177117,detergents,Temu,2025-05-08 17:39:36.093336,20,True,3.4,119,35,https://www.temu.com/products/83532
Sample Product 9383,7709.353777216832,food,Jumia,2025-04-13 17:39:36.093347,20,True,1.5,782,42,https://www.jumia.com/products/89912
Sample Product 5634,3367.0449562249973,food,Jumia,2025-05-10 17:39:36.093357,5,True,3.8,256,49,https://www.jumia.com/products/34130
Sample Product 3164,6401.495052400615,personal-care,Slot,2025-04-27 17:39:36.093373,10,True,1.7,468,34,https://www.slot.com/products/12248
Sample Product 8798,562.1417626961492,beverages,Konga,2025-04-29 17:39:36.093384,0,True,3.5,348,9,https://www.konga.com/products/59073
Sample Product 2691,1956.1003561270331,soft-drinks,Jiji,2025-05-12 17:39:36.093394,20,True,1.1,625,57,https://www.jiji.com/products/56305
Sample Product 5925,3415.9445702582693,personal-care,Slot,2025-04-17 17:39:36.093404,20,True,3.6,229,50,https://www.slot.com/products/75150
Sample Product 6885,7922.038243581213,detergents,PayPorte,2025-04-14 17:39:36.093415,5,True,3.8,407,22,https://www.payporte.com/products/87325
Sample Product 1980,7822.947132512698,personal-care,Temu,2025-04-28 17:39:36.093425,0,True,4.7,115,27,https://www.temu.com/products/55308
Sample Product 9823,6618.413305897319,snacks,Jumia,2025-04-14 17:39:36.093438,5,False,2.1,30,25,https://www.jumia.com/products/14061
Sample Product 1969,3476.098632201192,snacks,Jumia,2025-04-28 17:39:36.093448,20,True,1.6,178,40,https://www.jumia.com/products/60688
Sample Product 2275,6921.7407958387885,soft-drinks,PayPorte,2025-04-30 17:39:36.093459,20,True,2.2,21,46,https://www.payporte.com/products/54285
Sample Product 5044,2477.999947668653,snacks,Slot,2025-04-25 17:39:36.093483,15,True,4.5,357,64,https://www.slot.com/products/41765
Sample Product 6784,3886.968060124854,detergents,Jumia,2025-04-28 17:39:36.093494,15,False,1.6,396,75,https://www.jumia.com/products/25906
Sample Product 5862,9368.892354122128,personal-care,Konga,2025-05-09 17:39:36.093504,20,False,4.2,179,99,https://www.konga.com/products/25628
Sample Product 5011,7107.710769797824,soft-drinks,Temu,2025-04-19 17:39:36.093515,20,False,1.7,354,56,https://www.temu.com/products/90526
Sample Product 2574,9677.496281240736,detergents,Jiji,2025-04-14 17:39:36.093528,10,False,4.0,10,22,https://www.jiji.com/products/34696
Sample Product 7628,8728.704329634395,detergents,Jiji,2025-05-10 17:39:36.093551,15,False,4.1,606,13,https://www.jiji.com/products/19604
Sample Product 5593,4610.28719039415,beverages,Jiji,2025-04-16 17:39:36.093561,15,True,3.3,960,89,https://www.jiji.com/products/67157
Sample Product 7275,3185.6554279824227,snacks,PayPorte,2025-04-16 17:39:36.093574,0,False,4.2,955,64,https://www.payporte.com/products/67067
Sample Product 7821,6818.520103186036,personal-care,Temu,2025-04-22 17:39:36.093584,10,False,1.7,523,5,https://www.temu.com/products/95973
Sample Product 6531,8891.793056841974,food,Jumia,2025-04-27 17:39:36.093595,5,True,1.2,407,80,https://www.jumia.com/products/41131
Sample Product 8564,5666.088676743551,food,Konga,2025-05-01 17:39:36.093605,10,True,4.7,497,83,https://www.konga.com/products/39342
Sample Product 8813,8992.699724150243,personal-care,Jiji,2025-05-12 17:39:36.093615,5,False,2.8,442,57,https://www.jiji.com/products/26733
Sample Product 5361,8296.448548280387,snacks,Jumia,2025-04-14 17:39:36.093626,20,False,2.5,949,38,https://www.jumia.com/products/16167
Sample Product 4085,7935.306989844162,detergents,Konga,2025-04-21 17:39:36.093636,10,True,1.3,378,49,https://www.konga.com/products/54823
Sample Product 9070,8485.73007951236,food,Jiji,2025-05-04 17:39:36.093647,20,True,5.0,164,27,https://www.jiji.com/products/87980
Sample Product 7360,5562.747529635945,beverages,PayPorte,2025-05-12 17:39:36.093658,15,True,5.0,390,20,https://www.payporte.com/products/85827
Sample Product 7501,3794.257281601103,detergents,Slot,2025-05-09 17:39:36.093676,5,False,2.4,661,37,https://www.slot.com/products/51483
Sample Product 8450,8641.847802607794,soft-drinks,Konga,2025-04-24 17:39:36.093689,0,True,2.6,737,9,https://www.konga.com/products/42512
Sample Product 9750,5685.309884598823,detergents,Konga,2025-04-27 17:39:36.093700,15,False,3.8,74,60,https://www.konga.com/products/49732
Sample Product 9317,1423.5106593063342,beverages,Temu,2025-04-29 17:39:36.093710,10,False,1.7,588,33,https://www.temu.com/products/30179
Sample Product 7656,3612.677551662853,food,Konga,2025-04-30 17:39:36.093720,5,True,4.3,47,29,https://www.konga.com/products/47954
Sample Product 9546,6434.180622815225,snacks,Temu,2025-04-13 17:39:36.093731,15,True,1.3,341,96,https://www.temu.com/products/14598
Sample Product 4102,7964.492427825752,detergents,Jiji,2025-04-28 17:39:36.093741,5,False,2.2,591,70,https://www.jiji.com/products/27132
Sample Product 2210,6765.104100948303,snacks,Jumia,2025-04-20 17:39:36.093751,0,True,2.9,916,64,https://www.jumia.com/products/23502
Sample Product 9759,7165.8831677793805,food,Konga,2025-05-10 17:39:36.093762,5,False,3.1,527,87,https://www.konga.com/products/72810
Sample Product 7187,4955.597076254474,personal-care,Konga,2025-04-12 17:39:36.093773,10,True,2.5,545,43,https://www.konga.com/products/35759
Sample Product 4001,1880.900902028179,personal-care,PayPorte,2025-04-29 17:39:36.093783,15,False,3.1,16,62,https://www.payporte.com/products/88340
Sample Product 4783,1249.282976663174,soft-drinks,Slot,2025-05-04 17:39:36.093796,15,True,3.6,507,100,https://www.slot.com/products/29449
Sample Product 1249,8662.721118982883,personal-care,PayPorte,2025-04-24 17:39:36.093806,0,True,1.3,668,44,https://www.payporte.com/products/20193
Sample Product 4950,6846.7502504495205,soft-drinks,Slot,2025-04-18 17:39:36.093817,20,True,3.2,714,42,https://www.slot.com/products/61113
Sample Product 9114,2798.545308785295,soft-drinks,Jumia,2025-04-20 17:39:36.093828,10,True,2.4,353,44,https://www.jumia.com/products/61285
Sample Product 6499,1657.8208515309152,food,PayPorte,2025-04-21 17:39:36.093838,0,False,3.6,68,91,https://www.payporte.com/products/95179
Sample Product 4002,3029.2761086834016,food,Jiji,2025-05-05 17:39:36.093849,20,True,3.8,246,48,https://www.jiji.com/products/86056
Sample Product 5965,5288.470343596145,snacks,Jumia,2025-04-18 17:39:36.093859,0,False,4.0,697,78,https://www.jumia.com/products/88090
Sample Product 5295,9693.622366937649,soft-drinks,PayPorte,2025-04-25 17:39:36.093870,15,False,3.7,367,69,https://www.payporte.com/products/47759
Sample Product 6265,3657.261693580015,detergents,PayPorte,2025-05-09 17:39:36.093880,15,True,3.6,518,11,https://www.payporte.com/products/12830
Sample Product 7904,1654.683092068227,detergents,Slot,2025-04-21 17:39:36.093890,20,True,4.0,382,69,https://www.slot.com/products/18279
Sample Product 8995,2039.6832832399111,beverages,PayPorte,2025-04-15 17:39:36.093903,10,False,1.7,154,61,https://www.payporte.com/products/63269
Sample Product 1390,8006.11817490811,food,PayPorte,2025-04-16 17:39:36.093915,0,True,3.2,119,58,https://www.payporte.com/products/42886
